"Model","Metric","Estimate","LCL","UCL"
"Logistic_Regression","Loglikelihood",-109.8683,-128.4515,-92.4385
"Logistic_Regression","Logloss",109.8683,92.4385,128.4515
"Logistic_Regression","Brier",0.0906,0.0722,0.1092
"Logistic_Regression","Scaled.Brier",0.5774,0.4888,0.658
"Logistic_Regression","McFadden.R2",0.516,0.4376,0.591
"Logistic_Regression","Cox.Snell.R2",0.4728,0.4081,0.5241
"Logistic_Regression","Nagelkerke.R2",0.6652,0.5866,0.7295
"Logistic_Regression","Discrimination.slope",0.5521,0.4928,0.6112
"Logistic_Regression","MAPE",0.202,0.1791,0.2252
"Logistic_Regression","AUROC",0.9269,0.8921,0.9553
"Logistic_Regression","AUPRC",0.893,0.8444,0.9316
"Logistic_Regression","AP",0.8934,0.8457,0.932
"Logistic_Regression","pAUROC",0.1377,0.1111,0.1613
"Logistic_Regression","O.E.ratio",0.9223,0.8298,1.011
"Logistic_Regression","Cal..intercept",-0.2439,-0.5508,0.0309
"Logistic_Regression","Cal..slope",1.2184,1.0061,1.534
"Logistic_Regression","ECI",0.0124,0.0044,0.0626
"Logistic_Regression","ICI",0.0342,0.019,0.0679
"Logistic_Regression","ECE",0.0363,0.03,0.075
"Logistic_Regression","Accuracy",0.8689,0.8333,0.9044
"Logistic_Regression","Balanced.Accuracy",0.8471,0.8004,0.8902
"Logistic_Regression","Youden.index",0.6942,0.6007,0.7803
"Logistic_Regression","DOR",35.625,19.7608,75.2041
"Logistic_Regression","Kappa",0.6942,0.6069,0.7755
"Logistic_Regression","F1",0.7895,0.7228,0.8473
"Logistic_Regression","MCC",0.6942,0.6076,0.7755
"Logistic_Regression","Sensitivity.Recall",0.7895,0.7031,0.8619
"Logistic_Regression","Specificity",0.9048,0.8651,0.9402
"Logistic_Regression","PPV.precision",0.7895,0.7073,0.8637
"Logistic_Regression","NPV",0.9048,0.8669,0.9375
"MLP","Loglikelihood",-96.652,-116.1591,-78.5674
"MLP","Logloss",96.652,78.5674,116.1591
"MLP","Brier",0.0766,0.0591,0.0962
"MLP","Scaled.Brier",0.6428,0.555,0.7213
"MLP","McFadden.R2",0.5743,0.4918,0.6505
"MLP","Cox.Snell.R2",0.5095,0.4509,0.5575
"MLP","Nagelkerke.R2",0.7169,0.6431,0.7802
"MLP","Discrimination.slope",0.6035,0.5441,0.6552
"MLP","MAPE",0.1756,0.1538,0.1991
"MLP","AUROC",0.9459,0.9167,0.9705
"MLP","AUPRC",0.9185,0.8791,0.9532
"MLP","AP",0.9188,0.88,0.9535
"MLP","pAUROC",0.1516,0.1265,0.1731
"MLP","O.E.ratio",0.9548,0.8631,1.0396
"MLP","Cal..intercept",-0.151,-0.4549,0.1263
"MLP","Cal..slope",1.2562,1.0367,1.5935
"MLP","ECI",0.0127,0.0052,0.0539
"MLP","ICI",0.0333,0.0202,0.0628
"MLP","ECE",0.0362,0.0306,0.0741
"MLP","Accuracy",0.8852,0.8497,0.918
"MLP","Balanced.Accuracy",0.8782,0.8374,0.9156
"MLP","Youden.index",0.7565,0.6747,0.8312
"MLP","DOR",53.2404,28.3165,121.7633
"MLP","Kappa",0.7387,0.6599,0.8116
"MLP","F1",0.8235,0.7665,0.875
"MLP","MCC",0.7402,0.6629,0.814
"MLP","Sensitivity.Recall",0.8596,0.795,0.9214
"MLP","Specificity",0.8968,0.8577,0.9331
"MLP","PPV.precision",0.7903,0.7203,0.8597
"MLP","NPV",0.9339,0.9008,0.9636
"XGBoost","Loglikelihood",-45.9479,-61.6864,-30.9256
"XGBoost","Logloss",45.9479,30.9256,61.6864
"XGBoost","Brier",0.0349,0.0216,0.0487
"XGBoost","Scaled.Brier",0.8371,0.773,0.8994
"XGBoost","McFadden.R2",0.7976,0.7325,0.861
"XGBoost","Cox.Snell.R2",0.6282,0.5896,0.6641
"XGBoost","Nagelkerke.R2",0.8839,0.8393,0.9233
"XGBoost","Discrimination.slope",0.8242,0.7794,0.8696
"XGBoost","MAPE",0.0763,0.0591,0.0941
"XGBoost","AUROC",0.9871,0.9774,0.9958
"XGBoost","AUPRC",0.9785,0.9625,0.9925
"XGBoost","AP",0.9786,0.9629,0.9925
