"Model","Metric","Estimate","LCL","UCL"
"Logistic_Regression","Loglikelihood",-109.8766,-128.3498,-92.8437
"Logistic_Regression","Logloss",109.8766,92.8437,128.3498
"Logistic_Regression","Brier",0.0904,0.0725,0.1092
"Logistic_Regression","Scaled.Brier",0.5782,0.4895,0.6578
"Logistic_Regression","McFadden.R2",0.516,0.4386,0.5898
"Logistic_Regression","Cox.Snell.R2",0.4728,0.4109,0.5232
"Logistic_Regression","Nagelkerke.R2",0.6652,0.5886,0.7298
"Logistic_Regression","Discrimination.slope",0.5471,0.4889,0.6065
"Logistic_Regression","MAPE",0.2024,0.1794,0.2252
"Logistic_Regression","AUROC",0.9269,0.8921,0.9553
"Logistic_Regression","AUPRC",0.893,0.8444,0.9316
"Logistic_Regression","AP",0.8934,0.8457,0.932
"Logistic_Regression","pAUROC",0.1377,0.1111,0.1613
"Logistic_Regression","O.E.ratio",0.935,0.8416,1.0245
"Logistic_Regression","Cal..intercept",-0.1992,-0.5005,0.0692
"Logistic_Regression","Cal..slope",1.2474,1.0301,1.5706
"Logistic_Regression","ECI",0.0108,0.0045,0.0572
"Logistic_Regression","ICI",0.0315,0.0186,0.0657
"Logistic_Regression","ECE",0.0347,0.0295,0.0745
"Logistic_Regression","Accuracy",0.8661,0.8306,0.9016
"Logistic_Regression","Balanced.Accuracy",0.8403,0.7921,0.8826
"Logistic_Regression","Youden.index",0.6807,0.5842,0.7652
"Logistic_Regression","DOR",33.699,18.7223,73.0449
"Logistic_Regression","Kappa",0.6856,0.5933,0.7706
"Logistic_Regression","F1",0.7822,0.7149,0.8422
"Logistic_Regression","MCC",0.6857,0.5952,0.7715
"Logistic_Regression","Sensitivity.Recall",0.7719,0.6842,0.8435
"Logistic_Regression","Specificity",0.9087,0.8697,0.944
"Logistic_Regression","PPV.precision",0.7928,0.7115,0.8707
"Logistic_Regression","NPV",0.898,0.861,0.9333
"MLP","Loglikelihood",-95.2885,-119.9007,-72.4386
"MLP","Logloss",95.2885,72.4386,119.9007
"MLP","Brier",0.077,0.057,0.0982
"MLP","Scaled.Brier",0.6411,0.5373,0.7336
"MLP","McFadden.R2",0.5803,0.4738,0.6781
"MLP","Cox.Snell.R2",0.5132,0.4412,0.5725
"MLP","Nagelkerke.R2",0.722,0.6258,0.8015
"MLP","Discrimination.slope",0.67,0.6059,0.7254
"MLP","MAPE",0.1489,0.1244,0.1751
"MLP","AUROC",0.9459,0.9167,0.9705
"MLP","AUPRC",0.9185,0.8791,0.9532
"MLP","AP",0.9188,0.88,0.9535
"MLP","pAUROC",0.1516,0.1265,0.1731
"MLP","O.E.ratio",0.9407,0.8518,1.0214
"MLP","Cal..intercept",-0.2797,-0.6872,0.0956
"MLP","Cal..slope",0.9111,0.7518,1.1557
"MLP","ECI",0.0127,0.0017,0.0595
"MLP","ICI",0.0251,0.012,0.0594
"MLP","ECE",0.0307,0.0225,0.0724
"MLP","Accuracy",0.8907,0.8552,0.9235
"MLP","Balanced.Accuracy",0.887,0.8485,0.9221
"MLP","Youden.index",0.774,0.697,0.8442
"MLP","DOR",62.0879,32.4743,145.2016
