True_Labels,Predicted_Probabilities
0,0.0044918843
0,0.3084941
0,0.004899383
0,0.0047394745
0,0.00817029
0,0.04000467
0,0.095255174
0,0.021792518
0,0.09905094
0,0.06792066
0,0.011121782
0,0.011719837
0,0.05777551
0,0.05907698
0,0.024388565
0,0.027159572
0,0.036263574
0,0.010273198
0,0.0013599674
0,0.0014940667
0,0.0007336452
0,0.00040090337
0,0.0017530241
0,0.006429918
0,0.0070569627
0,0.34689635
0,0.14392471
0,0.006806274
0,0.0026743577
0,0.0045321565
0,0.0008175806
0,0.0033365106
0,0.0016300358
0,0.4175511
0,0.0016880407
0,0.022178048
0,0.0035452112
0,0.0014432721
0,0.016121356
0,0.010280667
0,0.0024372404
0,0.014897145
0,0.00841221
0,0.0027596976
0,0.0017644411
0,0.00018320841
0,0.005889628
0,0.006756122
0,0.0038043295
0,0.014752167
0,0.0020953265
0,0.001278336
0,0.0028897473
0,0.0018283093
0,0.015450656
0,0.033370376
0,0.028182272
0,0.026714664
0,0.013810541
0,0.17804131
0,0.007572965
0,0.016183106
0,0.06878613
0,0.1448712
0,0.5085389
0,0.0036438813
0,0.013022966
0,0.0037048494
0,0.014264511
0,0.0028362276
0,0.029032214
0,0.0005452031
0,0.004952625
0,0.00021158314
0,0.046046596
0,0.00056767295
0,0.008664211
0,0.06399599
0,0.3497469
0,0.06297797
0,0.0012434686
0,0.0011627588
0,0.035693042
0,0.008766267
0,0.0012074353
0,0.00079938065
0,0.0005268694
0,0.0024846084
0,0.00179312
0,0.033761084
0,0.0063833315
0,0.017735451
0,0.024800932
0,0.0311843
0,0.031521186
0,0.10422359
0,0.096105404
0,0.053657744
0,0.012414831
0,0.47020522
0,0.002064179
0,0.012801898
0,0.006909356
0,0.017853437
0,0.021680402
0,0.02080944
0,0.022309061
0,0.0051052817
0,0.027353352
0,0.0060761054
0,0.16460419
0,0.012365375
0,0.28012955
0,0.0012504988
0,0.15891409
0,0.0024661159
0,0.00012020168
0,0.013139679
0,0.003606544
0,0.0013210915
0,0.028093314
0,0.0008317362
0,0.0017740019
0,0.0016181746
0,0.0007322793
0,0.44483945
0,0.0241844
0,0.0047267335
0,0.004921796
0,0.0024603116
0,0.018611865
0,0.0035235875
0,0.00264347
0,0.0010392022
0,0.014936634
0,0.070255496
0,0.011370244
0,0.81151617
0,0.001957111
0,0.00068664504
0,0.0027973652
0,0.006051915
0,0.0025394764
0,0.041169316
0,0.06771575
0,0.06553584
0,0.023280721
0,0.0029234414
0,0.01504484
0,0.0028488596
0,0.0050570033
0,0.04116866
0,0.59613436
0,0.0103474865
0,0.040653463
0,0.13972372
0,0.015302202
0,0.07519293
0,0.004150579
0,0.0009352366
0,0.01187232
0,0.00065950275
0,0.0055951755
0,0.03766335
0,0.007966757
0,0.0016824107
0,0.1968669
0,0.052484103
0,0.36082903
0,0.06769486
0,0.0009197946
0,0.0019728933
0,0.0010203832
0,0.007930266
0,0.0023409075
0,0.0010701199
0,0.0015141591
0,0.0032207326
0,0.0035624697
0,0.045178737
0,0.023765173
0,0.02171634
0,0.020309221
0,0.0041753706
0,0.03319712
0,0.07805656
0,0.019395486
0,0.01866248
0,0.10489263
0,0.0008775778
0,0.029529497
0,0.0017396896
0,0.030060882
0,0.0001517713
0,0.0007199106
0,0.001153509
0,0.003546254
0,0.0017707658
0,0.004929015
0,0.15138651
0,0.021913836
0,0.023888648
0,0.16460419
0,0.14784984
0,0.0017963637
0,0.016142426
0,0.0037430355
0,0.09532366
0,0.0015430454
0,0.0014608505
0,0.0010138854
0,0.007577969
0,0.0013228183
0,0.17316234
0,0.0026991435
0,0.004711059
0,0.001657063
0,0.0009101146
0,0.0066969097
0,0.0030197967
0,0.0039114854
0,0.001879418
0,0.0004916021
0,0.0051501305
0,0.0035235875
0,0.003890997
0,0.0010392022
0,0.006601009
0,0.07269808
0,0.2483469
0,0.0032178392
0,0.81151617
0,0.00027479164
0,0.0031500629
0,0.0016132871
0,0.0010316854
0,0.0012050157
0,0.03257675
0,0.051369447
0,0.1371903
0,0.2416415
0,0.015181513
0,0.0059641213
0,0.00375843
0,0.045362636
0,0.014077889
0,0.59613436
0,0.0037827971
0,0.0058397977
0,0.008367114
0,0.0043807514
0,0.0017384207
1,0.9742925
1,0.956604
1,0.9894621
1,0.9972168
1,0.8757866
1,0.99404013
1,0.9999422
1,0.7724071
1,0.9990632
1,0.99657565
1,0.9923224
1,0.9471123
1,0.51598155
1,0.99869776
1,0.94534737
1,0.5904567
1,0.19192982
1,0.99819916
1,0.90065867
1,0.50294423
1,0.09011246
1,0.84522825
1,0.034586105
1,0.6919339
1,0.9992505
1,0.9054342
1,0.9998857
1,0.9951342
1,0.99567163
1,0.9107458
1,0.9939136
1,0.99687576
1,0.9981614
1,0.930408
1,0.7988567
1,0.8991381
1,0.9992449
1,0.9879659
1,0.9884636
1,0.9998543
1,0.99736327
1,0.99685436
1,0.99942064
1,0.90419805
1,0.9553222
1,0.99471456
1,0.9972519
1,0.98729324
1,0.9915379
1,0.88396794
1,0.99058795
1,0.038745057
1,0.05928507
1,0.8850179
1,0.083288245
1,0.9690186
1,0.99273723
1,0.9712903
1,0.9982127
1,0.9871141
1,0.98487884
1,0.99921334
1,0.998676
1,0.9996458
1,0.9985121
1,0.9850413
1,0.99410987
1,0.99908817
1,0.9743123
1,0.9239691
1,0.5587974
1,0.9964072
1,0.85836023
1,0.99717546
1,0.9990792
1,0.93948436
1,0.9980596
1,0.99988484
1,0.96610224
1,0.985979
